State;Age;Cost_kr_Mean;Cost_kr_SE;Cost_Mean;Cost_SE;;;;;
OB1;62;21860,97;1174,906;2504,55061;134,6057169;;;;;
OB1;63;22208,45;1203,968;2544,360428;137,9352695;;;;;
OB1;64;22561,07;1234,681;2584,759122;141,4539726;;;;;
OB1;65;22918,92;1267,075;2625,757003;145,1652632;;;;;
OB1;66;23282,08;1301,181;2667,363235;149,0726929;;;;;
OB1;67;23650,62;1337,027;2709,585839;153,1794696;;;;;
OB1;68;24024,63;1374,64;2752,435126;157,4886865;;;;;
OB1;69;24404,18;1414,045;2795,919116;162,0032079;;;;;
OB1;70;24789,36;1455,269;2840,048118;166,7261271;;;;;
OB1;71;25180,25;1498,336;2884,8313;171,6601936;;;;;
OB1;72;25576,94;1543,27;2930,278971;176,8081572;;;;;
OB1;73;25979,5;1590,095;2976,399152;182,1727674;;;;;
OB1;74;26388,04;1638,836;3023,204445;187,7568884;;;;;
OB1;75;26802,64;1689,517;3070,704016;193,5632697;;;;;
OB1;76;27223,39;1742,16;3118,908174;199,594432;;;;;
OB1;77;27650,37;1796,793;3167,826087;205,8535831;;;;;
OB1;78;28083,7;1853,438;3217,471501;212,3432434;;;;;
OB1;79;28523,44;1912,123;3267,851292;219,0666208;;;;;
OB1;80;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;81;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;82;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;83;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;84;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;85;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;86;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;87;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;88;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;89;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;90;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;91;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;92;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;93;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;94;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;95;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;96;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;97;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;98;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;99;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB1;100;28969,71;1972,873;3318,979206;226,0265796;;;;;
OB2;2;0;0;0;0;;;;;
